lesson_id,lesson_title,module_id,module_title,chapter_id,chapter_title,policy,technology,finance,equity,data,implementation,lesson_description
1.1.1,Lesson 1: The Great Energy Dilemma: Paradoxes of Sustainable Development,1,Intro to Sustainable Energy for Development,1.1,Chapter 1: Introduction to Energy Systems,0.103805,0.06669,0.060186,0.218813,0.369244,0.181262,Understanding the role of sustainable energy for human well-being and development
1.1.2,Lesson 2: The Complexities of Global Energy Use,1,Intro to Sustainable Energy for Development,1.1,Chapter 1: Introduction to Energy Systems,0.167428,0.304143,0.144248,0.146704,0.136137,0.10134,Exploring the benefits of sustainable energy and examining the energy transition
1.1.3,Lesson 3: The Sustainable Energy Landscape,1,Intro to Sustainable Energy for Development,1.1,Chapter 1: Introduction to Energy Systems,0.115145,0.071166,0.291349,0.126643,0.249109,0.146589,"This lesson explores the role of sustainable energy as a driver fo development, focusing on the SDGs, specifically SDG 7 as well as the progress made in advancing sustainable development and the energy transition."
1.2.1,Lesson 1: Access to electricity and clean cooking (SDG 7.1),1,Intro to Sustainable Energy for Development,1.2,Chapter 2: Interlinkages between Energy and Other SDGs,0.208104,0.239531,0.114404,0.184389,0.152429,0.101143,Catalyzing progress across the SDGs through universal energy access
1.2.2,Lesson 2: Renewable energy (SDG 7.2),1,Intro to Sustainable Energy for Development,1.2,Chapter 2: Interlinkages between Energy and Other SDGs,0.218965,0.286095,0.165741,0.041751,0.186285,0.101164,Leveraging the SDG synergies and navigating the trade-offs in the energy transition
1.2.3,Lesson 3: Energy Efficiency (SDG 7.3),1,Intro to Sustainable Energy for Development,1.2,Chapter 2: Interlinkages between Energy and Other SDGs,0.099246,0.486071,0.084614,0.071092,0.161949,0.097028,Improving energy efficiency for building sustainable and resilient socieities
1.3.1,Lesson 1: Arab States,1,Intro to Sustainable Energy for Development,1.3,Chapter 3: Regions,0.071894,0.098577,0.219321,0.094702,0.206288,0.309217,sustainable energy in the Arab states
1.3.2,Lesson 2: Latin America and the Caribbean,1,Intro to Sustainable Energy for Development,1.3,Chapter 3: Regions,0.160533,0.204333,0.155791,0.106796,0.20456,0.167988,Sustainable energy in Latin America and the Caribbeans
1.3.3,Lesson 3: Africa,1,Intro to Sustainable Energy for Development,1.3,Chapter 3: Regions,0.166158,0.164513,0.289212,0.162221,0.126862,0.091035,Sustainable energy in Africa
1.3.4,Lesson 4: Asia and the Pacific,1,Intro to Sustainable Energy for Development,1.3,Chapter 3: Regions,0.157657,0.289644,0.206993,0.104217,0.166469,0.07502,Sustainable energy in Asia Pacific
1.3.5,Lesson 5: Eastern Europe and Central Asia,1,Intro to Sustainable Energy for Development,1.3,Chapter 3: Regions,0.164253,0.069677,0.230419,0.172826,0.15134,0.211485,Sustainable energy in Eastern Europe and Central Asia
1.4.1,Lesson 1: Leveraging Cross-Cutting Approaches to Drive Systemic Change,1,Intro to Sustainable Energy for Development,1.4,"Chapter 4: Approaches, Methods and Tools for Strategic Innovation",0.186022,0.101299,0.129637,0.178193,0.172009,0.23284,Adopting varied approaches and tools to deliver the energy transition
1.4.2,Lesson 2: Addressing SDG7 Trade-offs for Sustainable Outcomes,1,Intro to Sustainable Energy for Development,1.4,"Chapter 4: Approaches, Methods and Tools for Strategic Innovation",0.068825,0.19547,0.190899,0.334774,0.059413,0.150619,"Africa‚Äôs energy transition is a transformative opportunity to address energy poverty, unlock green growth, and foster inclusive development."
1.4.3,Lesson 3: Scaling Strategies that Enable Equitable Energy Transitions,1,Intro to Sustainable Energy for Development,1.4,"Chapter 4: Approaches, Methods and Tools for Strategic Innovation",0.141185,0.035016,0.060649,0.244898,0.214919,0.303332,
2.1.1,Lesson 1: Core Concepts in Energy Access,2,Energy Access and Inclusive Energy Services,2.1,"Chapter 1: Understanding Energy Access: Concepts, Context, and Background",0.133784,0.145063,0.050343,0.372145,0.151839,0.146826,"This lesson offers a global overview of energy access, highlighting its critical role in human rights, poverty reduction, and inclusive sustainable development."
2.1.2,Lesson 2: Sustainable Energy to power development,2,Energy Access and Inclusive Energy Services,2.1,"Chapter 1: Understanding Energy Access: Concepts, Context, and Background",0.081143,0.069574,0.153538,0.342696,0.225,0.12805,"This lesson focuses on the critical requirements to ensure sustainable energy access, including the building blocks of sustainable energy access"
2.1.3,Lesson 3: Energy Poverty and Fuel Poverty,2,Energy Access and Inclusive Energy Services,2.1,"Chapter 1: Understanding Energy Access: Concepts, Context, and Background",0.129519,0.054087,0.193617,0.390336,0.123164,0.109277,"This lesson covers the reality of energy poverty, its causes and impacts, and the tools to measure the challenge of addressing this issue"
2.2.1,Lesson 1: Mapping the Global Energy Divide,2,Energy Access and Inclusive Energy Services,2.2,"Chapter 2: Current Status, Trends and Barriers to Energy Access",0.050798,0.201364,0.187744,0.311643,0.168266,0.080185,"This lesson provides an overview of the key characteristics and statistics of the regional disparities in access to energy services, regions with universal access to regions struggling with energy access."
2.2.2,Lesson 2: Layers of Inequality in Energy Access,2,Energy Access and Inclusive Energy Services,2.2,"Chapter 2: Current Status, Trends and Barriers to Energy Access",0.063489,0.121955,0.147955,0.27213,0.213611,0.180859,"This lesson explores recent data on global electricity access, revealing both significant progress and ongoing challenges across different regions, urban and rural areas, and specific vulnerable contexts."
2.2.3,"Lesson 3: Beyond Electricity: Status of Clean Cooking, Heating and Cooling",2,Energy Access and Inclusive Energy Services,2.2,"Chapter 2: Current Status, Trends and Barriers to Energy Access",0.132484,0.325405,0.158276,0.130052,0.207698,0.046085,"This lesson explores the complex challenges obstructing equitable acccess to sustainable energy, highlighting issues in infrastructure and capacity, uneven distirbtuion of investments and the need for comprehensive measurement approaches."
2.2.4,Lesson 4: Challenges for universal energy access,2,Energy Access and Inclusive Energy Services,2.2,"Chapter 2: Current Status, Trends and Barriers to Energy Access",0.100399,0.299828,0.139117,0.129331,0.227624,0.103702,"This lesson delves into statistics on the global energy gap, focusing on access to fundamental energy needs: clean cooking, and heating and cooling. While electricity access often dominates energy access discussions, clean cooking, heating, and cooling are equally vital for human well-being, health, and productivity—yet they remain deeply underserved."
2.3.1,Lesson 1: An Intersectional Approach to Energy Access,2,Energy Access and Inclusive Energy Services,2.3,Chapter 3: Bridging the Energy Access Gap,0.096519,0.202353,0.134858,0.281674,0.066242,0.218354,This lesson explores how an intersectional approach can transform energy access by addressing the overlapping identities that shape people's experience and challenges. The lesson presents practical strategies to operationalize intersectionality in sustainable energy access programming.
